,closeness_centrality
Addam-Marbrand,0.3234782608695652
Jaime-Lannister,0.46153846153846156
Tywin-Lannister,0.4492753623188406
Aegon-I-Targaryen,0.3765182186234818
Daenerys-Targaryen,0.40522875816993464
Eddard-Stark,0.5636363636363636
Aemon-Targaryen-(Maester-Aemon),0.33695652173913043
Alliser-Thorne,0.36328125
Bowen-Marsh,0.33574007220216606
Chett,0.3333333333333333
Clydas,0.25237449118046135
Jeor-Mormont,0.4161073825503356
Jon-Snow,0.493368700265252
Samwell-Tarly,0.3576923076923077
Aerys-II-Targaryen,0.38589211618257263
Brandon-Stark,0.3803680981595092
Gerold-Hightower,0.3803680981595092
Jon-Arryn,0.4376470588235294
Robert-Baratheon,0.5454545454545454
Aggo,0.2929133858267717
Drogo,0.3795918367346939
Jhogo,0.2929133858267717
Jorah-Mormont,0.37424547283702214
Quaro,0.29245283018867924
Rakharo,0.29245283018867924
Albett,0.33214285714285713
Halder,0.33574007220216606
Rast,0.3345323741007194
Grenn,0.33634719710669075
Pypar,0.33513513513513515
Tyrion-Lannister,0.510989010989011
Alyn,0.3803680981595092
Harwin,0.36470588235294116
Jory-Cassel,0.43661971830985913
Tomard,0.375
Arthur-Dayne,0.27596439169139464
Arya-Stark,0.458128078817734
Benjen-Stark,0.4325581395348837
Bran-Stark,0.4869109947643979
Catelyn-Stark,0.5054347826086957
Cersei-Lannister,0.484375
Desmond,0.3683168316831683
Ilyn-Payne,0.3866943866943867
Jeyne-Poole,0.36470588235294116
Joffrey-Baratheon,0.4806201550387597
Meryn-Trant,0.3675889328063241
Mordane,0.40611353711790393
Mycah,0.3727454909819639
Myrcella-Baratheon,0.3661417322834646
Petyr-Baelish,0.457002457002457
Rickon-Stark,0.4397163120567376
Robb-Stark,0.49732620320855614
Rodrik-Cassel,0.45365853658536587
Sandor-Clegane,0.41517857142857145
Sansa-Stark,0.48947368421052634
Syrio-Forel,0.3697813121272366
Tommen-Baratheon,0.39323467230443976
Vayon-Poole,0.38271604938271603
Yoren,0.38509316770186336
Arys-Oakheart,0.3268892794376098
Balon-Greyjoy,0.3765182186234818
Balon-Swann,0.3059210526315789
Renly-Baratheon,0.43457943925233644
Barristan-Selmy,0.39323467230443976
Boros-Blount,0.33941605839416056
Pycelle,0.39828693790149894
Varys,0.4460431654676259
Jaremy-Rykker,0.33574007220216606
Luwin,0.4492753623188406
Mance-Rayder,0.3024390243902439
Theon-Greyjoy,0.45036319612590797
Waymar-Royce,0.3044189852700491
Beric-Dondarrion,0.3835051546391753
Gregor-Clegane,0.4189189189189189
Loras-Tyrell,0.39828693790149894
Thoros-of-Myr,0.27761194029850744
Hali,0.328042328042328
Hallis-Mollen,0.3549618320610687
Hodor,0.3412844036697248
Hullen,0.3516068052930057
Joseth,0.3286219081272085
Nan,0.3412844036697248
Osha,0.34065934065934067
Rickard-Karstark,0.40611353711790393
Rickard-Stark,0.33037300177619894
Stiv,0.340036563071298
Lyanna-Stark,0.3803680981595092
Bronn,0.3712574850299401
Chiggen,0.340036563071298
Marillion,0.36186770428015563
Shae,0.33941605839416056
Shagga,0.3438077634011091
Vardis-Egen,0.3597678916827853
Willis-Wode,0.36257309941520466
Brynden-Tully,0.384297520661157
Edmure-Tully,0.40522875816993464
Hoster-Tully,0.3835051546391753
Lysa-Arryn,0.4295612009237875
Nestor-Royce,0.33695652173913043
Walder-Frey,0.36046511627906974
Colemon,0.33695652173913043
Donnel-Waynwood,0.33634719710669075
Eon-Hunter,0.33879781420765026
Jon-Umber-(Greatjon),0.3583815028901734
Masha-Heddle,0.33634719710669075
Moreo-Tumitis,0.33634719710669075
Mya-Stone,0.33634719710669075
Mychel-Redfort,0.33634719710669075
Robert-Arryn,0.3576923076923077
Stevron-Frey,0.33879781420765026
Tytos-Blackwood,0.340036563071298
Wendel-Manderly,0.34896810506566606
Cayn,0.36328125
Janos-Slynt,0.38271604938271603
Stannis-Baratheon,0.4017278617710583
Chella,0.33879781420765026
Clement-Piper,0.22572815533980584
Karyl-Vance,0.29107981220657275
Cohollo,0.29199372056514916
Haggo,0.2929133858267717
Qotho,0.29337539432176657
Conn,0.34191176470588236
Coratt,0.2551440329218107
Doreah,0.2929133858267717
Eroeh,0.2888198757763975
Illyrio-Mopatis,0.36904761904761907
Irri,0.2938388625592417
Jhiqui,0.29245283018867924
Mirri-Maz-Duur,0.2929133858267717
Rhaegar-Targaryen,0.4
Viserys-Targaryen,0.3705179282868526
Danwell-Frey,0.266857962697274
Hosteen-Frey,0.21112372304199772
Jared-Frey,0.21112372304199772
Dareon,0.3309608540925267
Daryn-Hornwood,0.36186770428015563
Torrhen-Karstark,0.3780487804878049
Dolf,0.256198347107438
Donal-Noye,0.3309608540925267
Jommo,0.2763744427934621
Ogo,0.2767857142857143
Rhaego,0.27555555555555555
Dywen,0.3309608540925267
Galbart-Glover,0.3835051546391753
Gendry,0.3611650485436893
High-Septon-(fat_one),0.36470588235294116
Howland-Reed,0.3611650485436893
Jacks,0.3611650485436893
Joss,0.3611650485436893
Marq-Piper,0.37575757575757573
Porther,0.3611650485436893
Raymun-Darry,0.3765182186234818
Tobho-Mott,0.3611650485436893
Tregar,0.3611650485436893
Varly,0.3611650485436893
Wyl-(guard),0.3675889328063241
Wylla,0.3611650485436893
Fogo,0.21703617269544925
Roose-Bolton,0.3425414364640884
Gared,0.2961783439490446
Will-(prologue),0.2363405336721728
Oswell-Whent,0.27596439169139464
Todder,0.33273703041144903
Gunthor-son-of-Gurn,0.33879781420765026
Harys-Swyft,0.3163265306122449
Heward,0.30491803278688523
Hobb,0.3309608540925267
Hugh,0.30491803278688523
Jafer-Flowers,0.2516914749661705
Kevan-Lannister,0.3570057581573896
Matthar,0.3309608540925267
Othor,0.3309608540925267
Maege-Mormont,0.290625
Jonos-Bracken,0.2540983606557377
Jyck,0.33941605839416056
Morrec,0.33941605839416056
Kurleket,0.33879781420765026
Lancel-Lannister,0.35361216730038025
Leo-Lefford,0.33879781420765026
Mace-Tyrell,0.28615384615384615
Lyn-Corbray,0.30097087378640774
Paxter-Redwyne,0.22275449101796407
Maegor-I-Targaryen,0.3292035398230089
Mord,0.33879781420765026
Randyll-Tarly,0.26382978723404255
Timett,0.34065934065934067
Ulf-son-of-Umar,0.256198347107438
